ticker,company,share_type,weight_percent,start_date,end_date,start_price,end_price,absolute_change,return_percent
EMBJ3,EMBRAER,ON      NM,3.09,2022-08-18,2026-08-18,15.08348560333252,100.63999938964844,85.55651378631592,567.2197795409651
CSMG3,COPASA,ON      NM,0.852,2022-08-18,2026-08-18,9.284550666809082,54.04999923706055,44.765448570251465,482.14986569335474
CURY3,CURY S/A,ON  ED  NM,0.225,2022-08-18,2026-08-18,5.750282287597656,31.110000610351562,25.359718322753906,441.0169284636746
DIRR3,DIRECIONAL,ON      NM,0.151,2022-08-18,2026-08-18,3.0274624824523926,10.3100004196167,7.282537937164307,240.54923816149474
POMO4,MARCOPOLO,PN      N2,0.129,2022-08-18,2026-08-18,1.281698226928711,4.070000171661377,2.788301944732666,217.54746056052346
SBSP3,SABESP,ON      NM,2.953,2022-08-18,2026-08-18,8.123091697692871,23.6200008392334,15.496909141540527,190.7759966065873
PSSA3,PORTO SEGURO,ON      NM,0.367,2022-08-18,2026-08-18,16.603437423706055,47.790000915527344,31.18656349182129,187.8319693444548
CXSE3,CAIXA SEGURI,ON      NM,0.465,2022-08-18,2026-08-18,6.357289791107178,17.959999084472656,11.602709293365479,182.51030981151425
UGPA3,ULTRAPAR,ON      NM,1.561,2022-08-18,2026-08-18,11.964037895202637,33.15999984741211,21.195961952209473,177.16394864236156
VBBR3,VIBRA,ON      NM,1.734,2022-08-18,2026-08-18,13.227355003356934,34.16999816894531,20.94264316558838,158.328276214507
CPLE3,COPEL,ON      NM,1.77,2022-08-18,2026-08-18,5.400542259216309,13.729999542236328,8.32945728302002,154.23372104542582
PETR3,PETROBRAS,ON      N2,4.59,2022-08-18,2026-08-18,18.82712745666504,47.56999969482422,28.74287223815918,152.66732699567424
PETR4,PETROBRAS,PN      N2,8.097,2022-08-18,2026-08-18,17.144018173217773,42.779998779296875,25.6359806060791,149.53309280858903
PRIO3,PRIO,ON      NM,2.016,2022-08-18,2026-08-18,24.600486755371094,61.36000061035156,36.75951385498047,149.4259614475094
CEAB3,CEA MODAS,ON      NM,0.069,2022-08-18,2026-08-18,3.0248920917510986,7.440000057220459,4.41510796546936,145.95918900741586
CMIN3,CSNMINERACAO,ON      N2,0.411,2022-08-18,2026-08-18,2.3839471340179443,5.849999904632568,3.466052770614624,145.3913436735017
ITSA4,ITAUSA,PN      N1,3.19,2022-08-18,2026-08-18,5.34262752532959,12.359999656677246,7.017372131347656,131.3468344569791
BPAC11,BTGP BANCO,UNT EJ  N2,2.582,2022-08-18,2026-08-18,23.486181259155273,50.40999984741211,26.923818588256836,114.63685088337434
ITUB4,ITAUUNIBANCO,PN      N1,8.378,2022-08-18,2026-08-18,17.870939254760742,38.220001220703125,20.349061965942383,113.86677373726441
TIMS3,TIM,ON      NM,0.61,2022-08-18,2026-08-18,8.644181251525879,18.020000457763672,9.375819206237793,108.46393583640746
BBSE3,BBSEGURIDADE,ON  ED  NM,0.993,2022-08-18,2026-08-18,18.906368255615234,37.279998779296875,18.37363052368164,97.18223127397631
GOAU4,GERDAU MET,PN      N1,0.398,2022-08-18,2026-08-18,5.7889862060546875,10.869999885559082,5.0810136795043945,87.77035388666454
ALOS3,ALLOS,ON      NM,0.526,2022-08-18,2026-08-18,14.516852378845215,25.3700008392334,10.853148460388184,74.76240838684845
WEGE3,WEG,ON      NM,3.082,2022-08-18,2026-08-18,28.05679702758789,48.31999969482422,20.263202667236328,72.22208097136598
CYRE3,CYRELA REALT,ON      NM,0.261,2022-08-18,2026-08-18,12.274001121520996,21.010000228881836,8.73599910736084,71.17482735147635
CMIG4,CEMIG,PN      N1,0.84,2022-08-18,2026-08-18,5.995794773101807,10.170000076293945,4.174205303192139,69.61888225258078
VIVT3,TELEF BRASIL,ON,0.909,2022-08-18,2026-08-18,17.46343421936035,29.579999923706055,12.116565704345703,69.3824911649566
GGBR4,GERDAU,PN      N1,1.347,2022-08-18,2026-08-18,15.288476943969727,24.260000228881836,8.97152328491211,58.681602606927896
ENEV3,ENEVA,ON      NM,2.029,2022-08-18,2026-08-18,15.699999809265137,24.690000534057617,8.99000072479248,57.26115180897746
EQTL3,EQUATORIAL,ON      NM,1.846,2022-08-18,2026-08-18,22.9400691986084,34.439998626708984,11.499929428100586,50.13031708203479
FLRY3,FLEURY,ON  EJ  NM,0.351,2022-08-18,2026-08-18,12.119742393493652,18.06999969482422,5.950257301330566,49.095575699075056
VALE3,VALE,ON  EDJ NM,10.913,2022-08-18,2026-08-18,48.91811752319336,71.5999984741211,22.681880950927734,46.367035567494305
MBRF3,MARFRIG,ON      NM,0.53,2022-08-18,2026-08-18,11.108428001403809,16.15999984741211,5.051571846008301,45.475127942224745
ISAE4,ISA ENERGIA,PN      N1,0.509,2022-08-18,2026-08-18,17.929155349731445,25.43000030517578,7.500844955444336,41.836019651403646
BRAP4,BRADESPAR,PN      N1,0.219,2022-08-18,2026-08-18,14.36553955078125,20.18000030517578,5.814460754394531,40.475060013171024
CPFE3,CPFL ENERGIA,ON      NM,0.333,2022-08-18,2026-08-18,30.790246963500977,41.20000076293945,10.409753799438477,33.80860767949763
B3SA3,B3,ON      NM,3.112,2022-08-18,2026-08-18,11.156368255615234,14.380000114440918,3.2236318588256836,28.894993289623283
TAEE11,TAESA,UNT EDJ N2,0.352,2022-08-18,2026-08-18,29.668270111083984,37.060001373291016,7.391731262207031,24.91460147332789
SANB11,SANTANDER BR,UNT,0.461,2022-08-18,2026-08-18,23.541118621826172,29.149999618530273,5.608880996704102,23.825889868733018
ENGI11,ENERGISA,UNT ED  N2,0.615,2022-08-18,2026-08-18,35.394893646240234,43.70000076293945,8.305107116699219,23.464139205236513
IGTI11,IGUATEMI S.A,UNT     N1,0.208,2022-08-18,2026-08-18,19.03110122680664,23.309999465942383,4.278898239135742,22.483713307712392
BBDC3,BRADESCO,ON      N1,0.955,2022-08-18,2026-08-18,11.697312355041504,14.170000076293945,2.4726877212524414,21.13893898188264
MULT3,MULTIPLAN,ON      N2,0.37,2022-08-18,2026-08-18,22.14530372619629,26.459999084472656,4.314695358276367,19.483568216643587
KLBN11,KLABIN S/A,UNT     N2,0.605,2022-08-18,2026-08-18,14.67015552520752,17.450000762939453,2.7798452377319336,18.94898273542749
ABEV3,AMBEV S/A,ON,2.71,2022-08-18,2026-08-18,12.700661659240723,14.760000228881836,2.0593385696411133,16.214419570359805
AXIA3,AXIA ENERGIA,ON  ATZ NM,4.678,2022-08-18,2026-08-18,43.222007751464844,49.86000061035156,6.637992858886719,15.357900301754835
BBAS3,BRASIL,ON      NM,2.205,2022-08-18,2026-08-18,15.66291332244873,17.90999984741211,2.247086524963379,14.346542553758269
SMFT3,SMART FIT,ON      NM,0.413,2022-08-18,2026-08-18,14.53564453125,16.559999465942383,2.024354934692383,13.92683296802042
EGIE3,ENGIE BRASIL,ON      NM,0.537,2022-08-18,2026-08-18,24.501712799072266,27.8700008392334,3.368288040161133,13.747153383859235
BBDC4,BRADESCO,PN      N1,3.781,2022-08-18,2026-08-18,14.276633262634277,16.100000381469727,1.8233671188354492,12.77168843166745
